"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place_MLBR","","Millbrae","","37.600237","-122.386757","","","1",""
"place_SFIA","","San Francisco International Airport","","37.616091","-122.391954","","","1",""
"place_OAKL","","Oakland International Airport Station","","37.713268","-122.2122","","","1",""
"place_MLPT","","Milpitas","","37.410277","-121.891081","","","1",""
"place_BERY","","Berryessa","","37.368473","-121.874681","","","1",""
"12TH_1","","Enter/Exit : Broadway @ 13th Street (SW)","Broadway @ 13th Street (SW)","37.803466","-122.271879","","","2","place_12TH"
"12TH_2","","Enter/Exit : Broadway @ 13th Street (NE)","Broadway @ 13th Street (NE)","37.80383","-122.271359","","","2","place_12TH"
"12TH_3","","Enter/Exit : Broadway @ 13th Street (NW)","Broadway @ 13th Street (NW)","37.803866","-122.271794","","","2","place_12TH"
"12TH_4","","Enter/Exit : Broadway @ 12th Street (NW)","Broadway @ 12th Street (NW)","37.802538","-122.272454","","","2","place_12TH"
"12TH_5","","Enter/Exit : Broadway @ 12th Street (NE)","Broadway @ 12th Street (NE)","37.802443","-122.272229","","","2","place_12TH"
"12TH_6","","Enter/Exit : Broadway @ 14th Street (NW)","Broadway @ 14th Street (NW)","37.80467","-122.27127","","","2","place_12TH"
"12TH_7","","Enter/Exit : 14th Street (NE)","14th Street (NE)","37.804279","-122.27086","","","2","place_12TH"
"16TH_1","","Enter/Exit : 16th Street @ Mission Street (NE)","16th Street @ Mission Street (NE)","37.765262","-122.419375","","","2","place_16TH"
"16TH_2","","Enter/Exit : 16th Street @ Mission Street (SW)","16th Street @ Mission Street (SW)","37.764781","-122.419976","","","2","place_16TH"
"19TH_1","","Enter/Exit : Broadway @ 19th Street (South East)","Broadway @ 19th Street (South East)","37.807589","-122.26901","","","2","place_19TH"
"19TH_2","","Enter/Exit : Broadway @ 17th Street (West)","Broadway @ 17th Street (West)","37.807258","-122.269753","","","2","place_19TH"
"19TH_3","","Enter/Exit : Broadway @ 17th Street (East)","Broadway @ 17th Street (East)","37.806847","-122.269472","","","2","place_19TH"
"19TH_4","","Enter/Exit : Broadway @ 20th Street (West)","Broadway @ 20th Street (West)","37.808932","-122.268448","","","2","place_19TH"
